instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,10,70,46926808,827403367,780476559,0,10998250,11151859,"[11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11147009, 11147233, 11147457, 11147649, 11147873, 11148097, 11148289, 11148513, 11148737, 11148929, 11149153, 11149377, 11149569, 11149793, 11150017, 11150241, 11150209, 11150177, 11150145, 11150145, 11150113, 11150081, 11150081, 11150049, 11150017, 11150017, 11149985, 11149953, 11149953, 11149921, 11149889, 11149889, 11149857, 11149825, 11149793, 11149793, 11149761, 11149729, 11149729, 11149697, 11149665, 11149665, 11149633, 11149601, 11149601, 11149569, 11149537, 11149537, 11151265, 11153025, 11154785, 11156513, 11158273, 11160033, 11161761, 11163521, 11165281, 11167009, 11168769, 11170529, 11172257, 11174017]"
0,8,meta-llama/Llama-3.1-8B,18,58,903845071,1550779044,646933973,4380,11315964,11151193,"[11147233, 11147457, 11147649, 11147873, 11148097, 11148289, 11148513, 11148737, 11148929, 11149153, 11149377, 11149569, 11149793, 11150017, 11150241, 11150209, 11150177, 11150145, 11150145, 11150113, 11150081, 11150081, 11150049, 11150017, 11150017, 11149985, 11149953, 11149953, 11149921, 11149889, 11149889, 11149857, 11149825, 11149793, 11149793, 11149761, 11149729, 11149729, 11149697, 11149665, 11149665, 11149633, 11149601, 11149601, 11149569, 11149537, 11149537, 11151265, 11153025, 11154785, 11156513, 11158273, 11160033, 11161761, 11163521, 11165281, 11167009]"
1,1,meta-llama/Llama-3.1-8B,22,104,347938952,1511157189,1163218237,82418,11609046,11180671,"[11148097, 11148289, 11148513, 11148737, 11148929, 11149153, 11149377, 11149569, 11149793, 11150017, 11150241, 11150209, 11150177, 11150145, 11150145, 11150113, 11150081, 11150081, 11150049, 11150017, 11150017, 11149985, 11149953, 11149953, 11149921, 11149889, 11149889, 11149857, 11149825, 11149793, 11149793, 11149761, 11149729, 11149729, 11149697, 11149665, 11149665, 11149633, 11149601, 11149601, 11149569, 11149537, 11149537, 11151265, 11153025, 11154785, 11156513, 11158273, 11160033, 11161761, 11163521, 11165281, 11167009, 11168769, 11170529, 11172257, 11174017, 11175777, 11177505, 11179265, 11181025, 11182753, 11184513, 11186273, 11188001, 11189761, 11191521, 11193249, 11195009, 11196769, 11198497, 11200257, 11202017, 11203745, 11205505, 11207265, 11208993, 11210753, 11212513, 11214241, 11216001, 11217761, 11219489, 11221249, 11223009, 11224737, 11226497, 11228257, 11229985, 11231745, 11233505, 11235233, 11236993, 11238753, 11240481, 11242241, 11244001, 11245729, 11247489, 11249249, 11250977, 11252737, 11254497]"
2,2,meta-llama/Llama-3.1-8B,16,69,479613521,1249204868,769591347,1124,11097615,11154319,"[11146817, 11147009, 11147233, 11147457, 11147649, 11147873, 11148097, 11148289, 11148513, 11148737, 11148929, 11149153, 11149377, 11149569, 11149793, 11150017, 11150241, 11150209, 11150177, 11150145, 11150145, 11150113, 11150081, 11150081, 11150049, 11150017, 11150017, 11149985, 11149953, 11149953, 11149921, 11149889, 11149889, 11149857, 11149825, 11149793, 11149793, 11149761, 11149729, 11149729, 11149697, 11149665, 11149665, 11149633, 11149601, 11149601, 11149569, 11149537, 11149537, 11151265, 11153025, 11154785, 11156513, 11158273, 11160033, 11161761, 11163521, 11165281, 11167009, 11168769, 11170529, 11172257, 11174017, 11175777, 11177505, 11179265, 11181025, 11182753]"
3,3,meta-llama/Llama-3.1-8B,4,12,570907776,704488152,133580376,26307,10965389,11146817,"[11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817]"
3,9,meta-llama/Llama-3.1-8B,5,26,1026970077,1316606100,289636023,1193,10946334,11147587,"[11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11147009, 11147233, 11147457, 11147649, 11147873, 11148097, 11148289, 11148513, 11148737, 11148929, 11149153, 11149377, 11149569]"
4,4,meta-llama/Llama-3.1-8B,13,96,587870263,1659816186,1071945923,64516,11100612,11166792,"[11146817, 11146817, 11146817, 11146817, 11147009, 11147233, 11147457, 11147649, 11147873, 11148097, 11148289, 11148513, 11148737, 11148929, 11149153, 11149377, 11149569, 11149793, 11150017, 11150241, 11150209, 11150177, 11150145, 11150145, 11150113, 11150081, 11150081, 11150049, 11150017, 11150017, 11149985, 11149953, 11149953, 11149921, 11149889, 11149889, 11149857, 11149825, 11149793, 11149793, 11149761, 11149729, 11149729, 11149697, 11149665, 11149665, 11149633, 11149601, 11149601, 11149569, 11149537, 11149537, 11151265, 11153025, 11154785, 11156513, 11158273, 11160033, 11161761, 11163521, 11165281, 11167009, 11168769, 11170529, 11172257, 11174017, 11175777, 11177505, 11179265, 11181025, 11182753, 11184513, 11186273, 11188001, 11189761, 11191521, 11193249, 11195009, 11196769, 11198497, 11200257, 11202017, 11203745, 11205505, 11207265, 11208993, 11210753, 11212513, 11214241, 11216001, 11217761, 11219489, 11221249, 11223009, 11224737]"
5,5,meta-llama/Llama-3.1-8B,15,63,604829893,1307280996,702451103,1462,11053153,11151579,"[11146817, 11146817, 11147009, 11147233, 11147457, 11147649, 11147873, 11148097, 11148289, 11148513, 11148737, 11148929, 11149153, 11149377, 11149569, 11149793, 11150017, 11150241, 11150209, 11150177, 11150145, 11150145, 11150113, 11150081, 11150081, 11150049, 11150017, 11150017, 11149985, 11149953, 11149953, 11149921, 11149889, 11149889, 11149857, 11149825, 11149793, 11149793, 11149761, 11149729, 11149729, 11149697, 11149665, 11149665, 11149633, 11149601, 11149601, 11149569, 11149537, 11149537, 11151265, 11153025, 11154785, 11156513, 11158273, 11160033, 11161761, 11163521, 11165281, 11167009, 11168769, 11170529]"
6,6,meta-llama/Llama-3.1-8B,15,84,610813769,1548254924,937441155,6533,11058224,11161240,"[11146817, 11146817, 11147009, 11147233, 11147457, 11147649, 11147873, 11148097, 11148289, 11148513, 11148737, 11148929, 11149153, 11149377, 11149569, 11149793, 11150017, 11150241, 11150209, 11150177, 11150145, 11150145, 11150113, 11150081, 11150081, 11150049, 11150017, 11150017, 11149985, 11149953, 11149953, 11149921, 11149889, 11149889, 11149857, 11149825, 11149793, 11149793, 11149761, 11149729, 11149729, 11149697, 11149665, 11149665, 11149633, 11149601, 11149601, 11149569, 11149537, 11149537, 11151265, 11153025, 11154785, 11156513, 11158273, 11160033, 11161761, 11163521, 11165281, 11167009, 11168769, 11170529, 11172257, 11174017, 11175777, 11177505, 11179265, 11181025, 11182753, 11184513, 11186273, 11188001, 11189761, 11191521, 11193249, 11195009, 11196769, 11198497, 11200257, 11202017, 11203745, 11205505, 11207265]"
7,7,meta-llama/Llama-3.1-8B,2,9,811936856,912201741,100264885,4963,11090349,11146817,"[11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817]"
